rule,rep,lag_windows,lag_ms,same_class_cosine_similarity
SRDP,5,4,100,0.9659614819384167
SRDP,5,5,125,0.9478541758210074
SRDP,5,6,150,0.9258758071501868
SRDP,5,7,175,0.9005913401898886
SRDP,5,8,200,0.8720692458319989
SRDP,5,9,225,0.8420463335836181
SRDP,5,10,250,0.8099017494623206
SRDP,5,11,275,0.7786902227729533
SRDP,5,12,300,0.7490578225826128
SRDP,5,13,325,0.7229801380919696
SRDP,5,14,350,0.699601435681357
SRDP,5,15,375,0.677211106640162
SRDP,5,16,400,0.6552515869750264
SRDP,5,17,425,0.6301545739814386
SRDP,5,18,450,0.6080826157808958
SRDP,5,19,475,0.5782053866988791
STDP,6,0,0,1.0
STDP,6,1,25,0.9999005222553429
STDP,6,2,50,0.999864452200663
STDP,6,3,75,0.9998476124387979
STDP,6,4,100,0.9998361016224624
STDP,6,5,125,0.9998183325296838
STDP,6,6,150,0.9998033495966345
STDP,6,7,175,0.9997861355752753
STDP,6,8,200,0.9997643312474148
STDP,6,9,225,0.9997432959910416
STDP,6,10,250,0.999708763356318
STDP,6,11,275,0.9996792006741771
STDP,6,12,300,0.9996444449053954
STDP,6,13,325,0.9995828449482778
STDP,6,14,350,0.99951609362768
STDP,6,15,375,0.9994231551071877
STDP,6,16,400,0.999305983417254
STDP,6,17,425,0.9990962088163493
STDP,6,18,450,0.9987001781813347
STDP,6,19,475,0.9976534035519679
T_STDP,6,0,0,1.0
T_STDP,6,1,25,0.9998744267766566
T_STDP,6,2,50,0.9998311301689731
T_STDP,6,3,75,0.9998071578504979
T_STDP,6,4,100,0.9997833467421977
T_STDP,6,5,125,0.9997412185414807
T_STDP,6,6,150,0.9996991638904341
T_STDP,6,7,175,0.9996582581108607
T_STDP,6,8,200,0.9996094958813023
T_STDP,6,9,225,0.9995417161015495
T_STDP,6,10,250,0.9994795136375216
T_STDP,6,11,275,0.9994197029890768
T_STDP,6,12,300,0.9993457145720409
T_STDP,6,13,325,0.9992645973464421
T_STDP,6,14,350,0.9991908283233674
T_STDP,6,15,375,0.9991124148158562
T_STDP,6,16,400,0.999024525031128
T_STDP,6,17,425,0.998926992474626
T_STDP,6,18,450,0.9987656848984954
T_STDP,6,19,475,0.9981704088921004
SRDP,6,0,0,1.0
SRDP,6,1,25,0.9985807561246741
SRDP,6,2,50,0.9965932718410954
SRDP,6,3,75,0.994247046426702
SRDP,6,4,100,0.9915905501831006
SRDP,6,5,125,0.9886086160507437
SRDP,6,6,150,0.9855033388505321
SRDP,6,7,175,0.9824517132131704
SRDP,6,8,200,0.9794660288663263
SRDP,6,9,225,0.9764570372875853
SRDP,6,10,250,0.9731625029517346
SRDP,6,11,275,0.9695886079309387
SRDP,6,12,300,0.9655835843327424
SRDP,6,13,325,0.9611334874943793
SRDP,6,14,350,0.9562742976941946
SRDP,6,15,375,0.9514924741700149
SRDP,6,16,400,0.9472485346313052
SRDP,6,17,425,0.9450958589854602
SRDP,6,18,450,0.946500879627351
SRDP,6,19,475,0.9495017460504087
STDP,7,0,0,1.0
STDP,7,1,25,0.9998002695694199
STDP,7,2,50,0.999720676800663
STDP,7,3,75,0.9996868218903643
STDP,7,4,100,0.9996590044437172
STDP,7,5,125,0.9996231695111605
STDP,7,6,150,0.9995797144031252
STDP,7,7,175,0.9995361469416177
STDP,7,8,200,0.9994926921399047
STDP,7,9,225,0.9994241812654863
STDP,7,10,250,0.999361489252865
STDP,7,11,275,0.9992932908355381
STDP,7,12,300,0.9991991354554558
STDP,7,13,325,0.9990720455828518
STDP,7,14,350,0.9989374760352727
STDP,7,15,375,0.9987294684878831
STDP,7,16,400,0.9984838305705033
STDP,7,17,425,0.9980844732394866
STDP,7,18,450,0.9973415409986178
STDP,7,19,475,0.995224904950522
T_STDP,7,0,0,1.0
T_STDP,7,1,25,0.9998270158331127
T_STDP,7,2,50,0.9997577932127809
T_STDP,7,3,75,0.9997223146275194
T_STDP,7,4,100,0.9996878461353161
T_STDP,7,5,125,0.9996575510953912
T_STDP,7,6,150,0.9996138475303792
T_STDP,7,7,175,0.9995734636695117
T_STDP,7,8,200,0.9995306757532649
T_STDP,7,9,225,0.9994711214930535
T_STDP,7,10,250,0.9994222222624234
T_STDP,7,11,275,0.999382418965213
T_STDP,7,12,300,0.9993144106908871
T_STDP,7,13,325,0.9992326850242106
T_STDP,7,14,350,0.9991381268172926
T_STDP,7,15,375,0.9990073548740069
T_STDP,7,16,400,0.9988806235399597
T_STDP,7,17,425,0.9986727592185773
T_STDP,7,18,450,0.99820716439557
T_STDP,7,19,475,0.9968284612915657
SRDP,7,0,0,1.0
SRDP,7,1,25,0.9991756965782089
SRDP,7,2,50,0.9982217221247921
SRDP,7,3,75,0.9969623152027758
SRDP,7,4,100,0.9953655868869815
SRDP,7,5,125,0.9934534626284524
SRDP,7,6,150,0.991195272995286
SRDP,7,7,175,0.9886862896821189
SRDP,7,8,200,0.985951694796376
SRDP,7,9,225,0.9829350736050941
SRDP,7,10,250,0.9795177201537479
SRDP,7,11,275,0.9758080690400845
SRDP,7,12,300,0.9717246151411791
SRDP,7,13,325,0.9675300983587659
SRDP,7,14,350,0.9633589756104005
SRDP,7,15,375,0.9585722864959919
SRDP,7,16,400,0.9531839619344575
SRDP,7,17,425,0.9479773281509933
SRDP,7,18,450,0.9428193854421454
SRDP,7,19,475,0.9351704609005964
STDP,8,0,0,1.0
STDP,8,1,25,0.9998631921770779
STDP,8,2,50,0.9998135856887718
STDP,8,3,75,0.9997930678948294
STDP,8,4,100,0.999773912672956
STDP,8,5,125,0.9997579582564112
STDP,8,6,150,0.9997392284555804
STDP,8,7,175,0.9997162774101024
STDP,8,8,200,0.9996892497692148
STDP,8,9,225,0.9996542423831328
STDP,8,10,250,0.9996152135643136
STDP,8,11,275,0.9995731733549972
STDP,8,12,300,0.9995268639069356
STDP,8,13,325,0.999458674263827
STDP,8,14,350,0.9993667752577693
STDP,8,15,375,0.9992465145710614
STDP,8,16,400,0.9990455745004745
STDP,8,17,425,0.9987827770386692
STDP,8,18,450,0.998245612729307
STDP,8,19,475,0.996741739277768
T_STDP,8,0,0,1.0
T_STDP,8,1,25,0.9996982442671704
T_STDP,8,2,50,0.9994160630300103
T_STDP,8,3,75,0.9992410583940061
T_STDP,8,4,100,0.9991522141532154
T_STDP,8,5,125,0.9990615492785871
T_STDP,8,6,150,0.9989942984288103
T_STDP,8,7,175,0.9989362832898115
T_STDP,8,8,200,0.9988385891694499
T_STDP,8,9,225,0.9986920168098418
T_STDP,8,10,250,0.9985478872132194
T_STDP,8,11,275,0.9983808297325586
T_STDP,8,12,300,0.9981881517242146
T_STDP,8,13,325,0.9979703406539057
T_STDP,8,14,350,0.997773553934401
T_STDP,8,15,375,0.997633317911905
T_STDP,8,16,400,0.9974862444510697
T_STDP,8,17,425,0.9974972151164785
T_STDP,8,18,450,0.9971087388711543
T_STDP,8,19,475,0.9950458992661136
SRDP,8,0,0,1.0
SRDP,8,1,25,0.9982499159716497
SRDP,8,2,50,0.9961920205939836
SRDP,8,3,75,0.9939775971479667
SRDP,8,4,100,0.9917774540886798
SRDP,8,5,125,0.9890441794884672
SRDP,8,6,150,0.9860626103415768
SRDP,8,7,175,0.9830522944989671
SRDP,8,8,200,0.9798523911142875
