rule,rep,window,time_ms,between_within_separation
SRDP,5,12,312.5,0.22813107175237718
SRDP,5,13,337.5,0.2972801790119091
SRDP,5,14,362.5,0.3129877447325862
SRDP,5,15,387.5,0.32150009274362856
SRDP,5,16,412.5,0.25184200053222233
SRDP,5,17,437.5,0.28613968752755525
SRDP,5,18,462.5,0.3018840961466334
SRDP,5,19,487.5,0.34307154360801156
STDP,6,0,12.5,0.47410102335606785
STDP,6,1,37.5,0.5560071565728422
STDP,6,2,62.5,0.4126484782278026
STDP,6,3,87.5,0.4871553033618854
STDP,6,4,112.5,0.5855476837114045
STDP,6,5,137.5,0.46882880658537257
STDP,6,6,162.5,0.4825477799788157
STDP,6,7,187.5,0.4606575472847374
STDP,6,8,212.5,0.5861197077388719
STDP,6,9,237.5,0.48984320864084835
STDP,6,10,262.5,0.424368958190617
STDP,6,11,287.5,0.5389729773432802
STDP,6,12,312.5,0.4993531164973752
STDP,6,13,337.5,0.4670254151018344
STDP,6,14,362.5,0.46285289336373275
STDP,6,15,387.5,0.4740141781398261
STDP,6,16,412.5,0.41121406844013864
STDP,6,17,437.5,0.4597194854301792
STDP,6,18,462.5,0.4253696926212817
STDP,6,19,487.5,0.3904603908125434
T_STDP,6,0,12.5,0.483448966230702
T_STDP,6,1,37.5,0.5898511158003962
T_STDP,6,2,62.5,0.5751697589743987
T_STDP,6,3,87.5,0.6506151586065722
T_STDP,6,4,112.5,0.7245653960524082
T_STDP,6,5,137.5,0.6483107966410795
T_STDP,6,6,162.5,0.6749300554076836
T_STDP,6,7,187.5,0.5859421104771632
T_STDP,6,8,212.5,0.6657287367251832
T_STDP,6,9,237.5,0.5860480321501635
T_STDP,6,10,262.5,0.506440560496157
T_STDP,6,11,287.5,0.6826504077884277
T_STDP,6,12,312.5,0.6289044741487132
T_STDP,6,13,337.5,0.5818518612862646
T_STDP,6,14,362.5,0.5438149258805749
T_STDP,6,15,387.5,0.5097999492306491
T_STDP,6,16,412.5,0.46889785810054624
T_STDP,6,17,437.5,0.5384487609233989
T_STDP,6,18,462.5,0.4657133749432405
T_STDP,6,19,487.5,0.4209882467286372
SRDP,6,0,12.5,0.4353024607211672
